primary_method,active_standardized_method_name,active_method_class,scoring_standardized_method_name,scoring_method_class,instructions_standardized_method_name,instructions_method_class,final_standardized_method_name,final_method_class,decision
"(d, n) lexicographic measure",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
Acc induction on size,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
Acc structural induction,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
"accessibility / structural induction (root-only, no congruence)",structural_induction,structural_induction,,,,,structural_induction,structural_induction,active_only
accessibility / structural recursion,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof by structural induction on terms,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof by structural induction on terms with banana third-argument chain-depth descent,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof by structural induction on Trace,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof by structural induction on Trace with finite grape-unwinding argument,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof by Trace.rec case analysis,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
accessibility proof using Acc and structural induction,,,accessibility_induction,structural_induction,accessibility_induction,structural_induction,well_founded_induction,structural_induction,scoring_reviewed_migration
active-constructor measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
additive F/S-count measure,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
analysis of recursive structure,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
argument measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
banana-depth plus grape-count measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
compatible well-founded order via custom numeric interpretation measure,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
complete induction on lexicographic measure of peel-rank banana-count and size,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
complete induction with root-constructor case analysis,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
complexity measure based on S-depth,,,s_depth_measure,direct_measure,s_depth_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
computability predicate,,,tait_computability,structural_induction,tait_computability,structural_induction,tait_computability,structural_induction,scoring_reviewed_migration
computability predicate (reducibility candidates) method,,,tait_computability,structural_induction,tait_computability,structural_induction,tait_computability,structural_induction,scoring_reviewed_migration
constructor precedence measure,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
constructor precedence ordering,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
constructor precedence plus lexicographic subterm ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
constructor-based recursion,,,structural_recursion,structural_descent,structural_recursion,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
constructor-consumption + size descent (congruence); root-only height descent,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
constructor-count measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
constructor-precedence measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
constructor-precedence well-founded measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
constructor-precedence with lexicographic subterm ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
constructor-size measure with bounded two-step decrease argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
