label,surfaces,n_uses
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO),SCHEMA_A_NEW_SYSTEM,1
KBO (Knuth-Bendix ordering),SCHEMA_A_NEW_SYSTEM,1
Knuth-Bendix Ordering (KBO),SCHEMA_A_NEW_SYSTEM,1
LPO (lexicographic path order),SCHEMA_A_NEW_SYSTEM,2
LPO (lexicographic path ordering),SCHEMA_A_NEW_SYSTEM,5
LPO + polynomial interpretation,SCHEMA_A;SCHEMA_A_NEW_SYSTEM,5
LPO + structural induction,SCHEMA_A_NEW_SYSTEM,2
LPO / weight function,TEST01,1
LPO path order,TEST01,1
LPO/RPO path order,TEST01,2
LPO/RPO; polynomial interpretation,SCHEMA_A,1
LPO/path order,TEST01,12
LPO; RPO; structural induction,SCHEMA_A,1
LPO; simple subterm argument,SCHEMA_A,1
Lexicographic Path Order (LPO) or polynomial interpretation,SCHEMA_A_NEW_SYSTEM,1
Lexicographic Path Order (LPO) with precedence F>G,SCHEMA_A_NEW_SYSTEM,1
"Lexicographic Path Order (LPO) with precedence F>G, F>S",SCHEMA_A_NEW_SYSTEM,1
Lexicographic Path Order (LPO); Polynomial Interpretations,SCHEMA_A,1
Lexicographic Path Order (LPO); structural induction,SCHEMA_A,1
Lexicographic Path Ordering (LPO) or Polynomial Interpretation,SCHEMA_A_NEW_SYSTEM,2
Lexicographic Path Ordering (LPO) with precedence F>G,SCHEMA_A_NEW_SYSTEM,5
Lexicographic Path Ordering (LPO); Polynomial Interpretation,SCHEMA_A,2
Lexicographic Path Ordering (LPO); Polynomial Interpretations,SCHEMA_A,2
Lexicographic Path Ordering (LPO); Recursive Path Ordering (RPO),SCHEMA_A,1
Lexicographic Path Ordering (LPO); polynomial interpretation,SCHEMA_A,1
Lexicographic counting of S and F symbols,SCHEMA_A,1
Lexicographic ordering on S-depth,SCHEMA_A,1
Lexicographic path ordering (LPO); polynomial interpretation,SCHEMA_A,2
Lexicographic path ordering / well-founded measure,SCHEMA_A,1
Lexicographic/Recursive Path Ordering (LPO/RPO),SCHEMA_A,1
Lexicographical Path Ordering (LPO); structural induction,SCHEMA_A,2
Measure decrease on S-nesting depth,SCHEMA_A,1
Multiset Path Ordering (MPO),SCHEMA_A,2
Multiset order on S-nesting depth,SCHEMA_A,1
Multiset ordering on S-nesting depths,SCHEMA_A,1
Polynomial Interpretation or Lexicographic Path Ordering (LPO),SCHEMA_A_NEW_SYSTEM,1
Polynomial interpretation into the natural numbers,SCHEMA_A,1
Polynomial interpretation over natural numbers,SCHEMA_A,1
Polynomial interpretation; Lexicographic Path Ordering,SCHEMA_A,1
Polynomial interpretation; lexicographic path ordering (LPO/RPO),SCHEMA_A,1
Polynomial interpretation; well-foundedness argument,SCHEMA_A,1
RPO (Recursive Path Order),SCHEMA_A,2
RPO (recursive path order),SCHEMA_A_NEW_SYSTEM,1
RPO (recursive path ordering),SCHEMA_A_NEW_SYSTEM,1
RPO path order,TEST01,4
RPO/KBO path order; lexicographic measure (g c s),TEST01,1
RPO/LPO path order,TEST01,2
RPO/path order,TEST01,4
RPO/simplification ordering,TEST01,1
Ranking function,SCHEMA_A,1
Recursive Path Ordering (RPO) / Lexicographic Path Ordering (LPO); Polynomial Interpretation,SCHEMA_A,1
Recursive Path Ordering (RPO) with precedence F>G,SCHEMA_A_NEW_SYSTEM,1
Recursive Path Ordering (RPO/LPO); Polynomial Interpretations,SCHEMA_A,1
Recursive path ordering (RPO/LPO); polynomial interpretation,SCHEMA_A,1
Recursive/Lexicographic Path Ordering (LPO),TEST01,1
S-constructor count in third argument,SCHEMA_A,2
S-depth/F measure,SCHEMA_A,1
S-symbol count measure,SCHEMA_A,1
Semantic argument,SCHEMA_A,1
Structural induction on depth of third argument,SCHEMA_A,1
Structural induction on third argument,SCHEMA_A,1
Structural induction; Lexicographic Path Ordering (LPO),SCHEMA_A,1
Structural induction; recursive path order (RPO/LPO),SCHEMA_A,1
Structural induction; structural size decrease,SCHEMA_A,1
Structural induction; structural size-decrease,SCHEMA_A,1
Structural induction; structural subterm ordering,SCHEMA_A,1
Structural recursion on third argument,SCHEMA_A,1
decrease-in-a-natural-number measure; Recursive Path Ordering (RPO),SCHEMA_A,1
decreasing S-constructor count measure,SCHEMA_A_NEW_SYSTEM,1
decreasing count of S in third argument,SCHEMA_A_NEW_SYSTEM,1
decreasing measure (#F + #S occurrences),SCHEMA_A_NEW_SYSTEM,1
decreasing measure / ranking function,SCHEMA_A_NEW_SYSTEM,1
decreasing measure on structural size of third argument,SCHEMA_A_NEW_SYSTEM,1
decreasing measure on third argument,SCHEMA_A_NEW_SYSTEM,1
decreasing measure on third argument of F,SCHEMA_A;SCHEMA_A_NEW_SYSTEM,2
