evidence_id,surface,variant,method_family,method_subtype,trs_path,trs_sha256,ttt2_result,ceta_status,evidence_authority,evidence_path,evidence_sha256,lean_path,lean_anchor,scope,negative_inference_allowed,notes
SA-LPO-CETA,schema_a,all,path_order,LPO F>G,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema\Schema_LPO.cpf,2edf5301eafe891f4aa71567c704898ea5a6c75a3067a8a615ce64a1eda9007f,,,Full context-closed duplicating two-rule TRS; certified LPO orientation.,no,
SA-DP-FAST-CETA,schema_a,all,transformed_calls,DP/subterm projection 3,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema\Schema_FAST.cpf,00a6dfc0fadcd0bb546ddd264ab149ad39c7b01caa7b22c0f6dd2ce6ec74c3a3,,,Full context-closed TRS via dependency pairs and third-argument subterm descent.,no,
SA-DP-HYDRA-CETA,schema_a,all,transformed_calls,DP/subterm projection 3,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema\Schema_HYDRA.cpf,6d38b8f7f855671ef0d8a5ebe537aa753649ee520d6157aaf3a8e2505c9d87bf,,,Full context-closed TRS via dependency pairs and third-argument subterm descent.,no,
SA-DP-COMP-CETA,schema_a,all,transformed_calls,COMP DP/subterm,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema\Schema_COMP.cpf,94c50f9fb1d8874c7968db78ba7d311cc2186ce33fa783e0d90e14dff3002966,,,Full context-closed TRS; composite certified proof containing the structural route.,no,
SA-KBO-SEARCH,schema_a,all,kbo,KBO,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\schema\Schema_KBO.cpf,0b6b618c8a4d638139c26706fa2cf900d7b6e5e745e54ee682ede637835e83ea,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
SA-POLY-SEARCH,schema_a,all,polynomial,POLY,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\schema\Schema_POLY.cpf,c79231ba63b47bdc61a299a59633871eee0739b1dfcb9c5ed9cfaf77017701e8,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
SA-MAT2-SEARCH,schema_a,all,matrix,MAT2,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\schema\Schema_MAT2.cpf,49c46e5982764647ba937ab1f4224792dbbce750fe95ab22669cb96c75dcada1,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
SA-MAT3-SEARCH,schema_a,all,matrix,MAT3,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\schema\Schema_MAT3.cpf,f5b38f3ba742105ccdb3bf528db38872e274774dae0abad5e08b2b6ebb657851,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
SA-POLY-MUW-LEAN,schema_a,all,polynomial,payload-aware nonlinear measure,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\NonlinearWitness.lean,d14395a128e76c3288d5b45a229a2c243cf72dcd1eab2cb6cb5475c7317479e5,lean\KO7Benchmark\SchemaTests\NonlinearWitness.lean,KO7Benchmark.SchemaTests.NonlinearWitness.muW_step_decreases; KO7Benchmark.SchemaTests.NonlinearWitness.wf_StepRev,Exact full contextual Schema A Step relation; positive polynomial-style witness.,no,
SA-POLY-P1-LEAN,schema_a,all,polynomial,non-collapsing polynomial p1,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,f1c2ebd40a563adf4a2c7d64ac1b53359b9bf12849a3f0fcd63ec1f57c69bc10,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,KO7Benchmark.SchemaTests.NonCollapsingPoly.p1_step_decreases; KO7Benchmark.SchemaTests.NonCollapsingPoly.wf_StepRev_p1,Exact full contextual Schema A Step relation; positive witness p1.,no,
